# Fiducial parameters, omega_b = 0.022137, omega_cdm = 0.11897, 100*theta_s = 1.0409, tau_reio = 0.08783, sigma_NL = 7, beta_0^Euclid = 1, beta_1^Euclid = 1, Omega_Lambda = 0, Omega_m = 0, H0 = 0, sigma8 = 0
33127.212 33434.479
31601.421 31879.355
30166.519 30418.024
28816.665 29044.37
27546.339 27752.622
26350.318 26537.32
25223.683 25393.33
24161.832 24315.856
23160.467 23300.427
22215.567 22342.859
21323.38 21439.257
20480.421 20586.006
19683.451 19779.75
18929.454 19017.371
18215.629 18295.972
17539.374 17612.867
16898.276 16965.57
16290.098 16351.774
15712.757 15769.339
15164.319 15216.276
14642.989 14690.743
14147.102 14191.031
13675.109 13715.553
13225.568 13262.835
12797.139 12831.504
12388.574 12420.286
11998.712 12027.995
32437.089 32742.419
30943.435 31219.513
29538.728 29788.455
28217.256 28443.256
26973.617 27178.265
25802.699 25988.135
24699.691 24867.839
23660.091 23812.681
22679.693 22818.282
21754.562 21880.545
20881.028 20995.655
20055.68 20160.072
19275.348 19370.511
18537.083 18623.918
17838.143 17917.456
17175.981 17248.494
16548.237 16614.598
15952.719 16013.51
15387.392 15443.133
14850.361 14901.519
14339.87 14386.865
13854.288 13897.497
13392.101 13431.861
12951.896 12988.514
12532.362 12566.111
12132.277 12163.404
11750.505 11779.233
31734.054 32036.847
30273.115 30546.784
28899.149 29146.588
27606.571 27830.398
26390.102 26592.685
25244.744 25428.218
24165.794 24332.078
23148.85 23299.671
22189.802 22326.71
21284.802 21409.19
20430.263 20543.377
19622.85 19725.808
18859.465 18953.267
18137.222 18222.768
17453.442 17531.533
16805.635 16876.991
16191.492 16256.757
15608.872 15668.625
15055.781 15110.54
14530.37 14580.599
14030.921 14077.036
13555.838 13598.214
13103.64 13142.613
12672.947 12708.819
12262.475 12295.518
11871.03 11901.489
11497.5 11525.595
31020.584 31320.242
29592.824 29863.535
28250.035 28494.681
26986.764 27207.953
25797.852 25997.943
24678.42 24859.538
23623.873 23787.93
22629.912 22778.628
21692.522 21827.441
20807.945 20930.453
19972.677 20084.015
19183.46 19284.739
18437.267 18529.485
17731.282 17815.33
17062.884 17139.561
16429.642 16499.663
15829.301 15893.306
15259.767 15318.331
